state,year,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
Louisiana,2011,427.55,1.68849882E8,449.32,1.63101426E8,-21.77,5748456.0,21.77,5748456.0
District of Columbia,2012,342.39,2.7520405E7,364.14,2.8174513E7,-21.75,-654108.0,21.75,654108.0
Michigan,2003,320.08,1.20300117E8,298.34,1.00123763E8,21.74,2.0176354E7,21.74,2.0176354E7
Tennessee,2011,401.04,2.47118186E8,422.78,2.47858618E8,-21.74,-740432.0,21.74,740432.0
Tennessee,1997,315.4,7.7220777E7,337.11,9.2013869E7,-21.71,-1.4793092E7,21.71,1.4793092E7
Delaware,1993,405.89,8807179.0,427.59,8393481.0,-21.7,413698.0,21.7,413698.0
South Carolina,2011,410.24,1.62751529E8,431.89,1.59650617E8,-21.65,3100912.0,21.65,3100912.0
Idaho,1998,326.7,7744977.0,348.35,8590104.0,-21.65,-845127.0,21.65,845127.0
Ohio,2012,402.04,3.53519228E8,423.66,3.62171659E8,-21.62,-8652431.0,21.62,8652431.0
Kansas,2014,342.15,4.3617994E7,363.71,5.4050426E7,-21.56,-1.0432432E7,21.56,1.0432432E7
Kentucky,1997,358.61,6.0927109E7,380.13,7.0185278E7,-21.52,-9258169.0,21.52,9258169.0
Guam,2006,900.63,7359037.0,922.1,7504224.0,-21.47,-145187.0,21.47,145187.0
Idaho,2017,338.71,2.4834479E7,360.13,2.821058E7,-21.42,-3376101.0,21.42,3376101.0
Tennessee,1993,361.24,1.15236344E8,382.59,1.11144036E8,-21.35,4092308.0,21.35,4092308.0
Rhode Island,1991,341.51,1.2063666E7,320.34,9392481.0,21.17,2671185.0,21.17,2671185.0
California,2018,349.13,6.73286144E8,370.29,7.30321411E8,-21.16,-5.7035267E7,21.16,5.7035267E7
Florida,2025,330.17,5.54359892E8,351.32,5.91335804E8,-21.15,-3.6975912E7,21.15,3.6975912E7
Indiana,2002,361.52,6.3929352E7,340.37,5.2156029E7,21.15,1.1773323E7,21.15,1.1773323E7
Missouri,2014,353.4,1.40875943E8,374.47,1.61673044E8,-21.07,-2.0797101E7,21.07,2.0797101E7
Colorado,2013,406.46,9.4318586E7,427.51,9.5836845E7,-21.05,-1518259.0,21.05,1518259.0
Alabama,1990,417.24,7.0606498E7,396.21,6.2935336E7,21.03,7671162.0,21.03,7671162.0
Minnesota,2018,273.4,5.7539108E7,294.42,6.5066629E7,-21.02,-7527521.0,21.02,7527521.0
Ohio,1998,300.78,9.6393294E7,321.79,1.19714516E8,-21.01,-2.3321222E7,21.01,2.3321222E7
Wyoming,1997,354.84,3778037.0,375.84,4722943.0,-21.0,-944906.0,21.0,944906.0
Idaho,2004,373.51,1.3638529E7,352.56,1.1827742E7,20.95,1810787.0,20.95,1810787.0
