date,state,households,participation,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
2023-04-01,Pennsylvania,1027204,1936758,346.0,3.5540306E8,373.97,3.82384098E8,-27.97,-2.6981038E7,27.97,2.6981038E7
2022-11-01,New York,1647311,2835706,571.8,9.41931634E8,543.83,8.91563034E8,27.97,5.03686E7,27.97,5.03686E7
1994-08-01,Indiana,182720,485644,404.23,7.3863498E7,376.26,7.3776241E7,27.97,87257.0,27.97,87257.0
1995-11-01,District of Columbia,42894,93568,385.21,1.6523133E7,413.15,1.7767175E7,-27.94,-1244042.0,27.94,1244042.0
1997-02-01,Vermont,25509,54478,278.91,7114638.0,250.98,6375133.0,27.93,739505.0,27.93,739505.0
1990-10-01,South Dakota,17000,48800,436.55,7421137.0,408.63,6905972.0,27.92,515165.0,27.92,515165.0
2023-05-01,Virgin Islands,10470,20845,499.28,5227424.0,527.13,5428407.0,-27.85,-200983.0,27.85,200983.0
1994-10-01,Tennessee,290218,686953,363.43,1.05470868E8,335.6,1.02753285E8,27.83,2717583.0,27.83,2717583.0
1998-01-01,New Jersey,188379,433111,345.92,6.5166348E7,373.75,7.1808167E7,-27.83,-6641819.0,27.83,6641819.0
1997-06-01,District of Columbia,39096,88573,409.19,1.5997854E7,381.38,1.4951689E7,27.81,1046165.0,27.81,1046165.0
2004-10-01,Wyoming,10415,25376,367.57,3828358.0,339.8,3481163.0,27.77,347195.0,27.77,347195.0
2022-02-01,Vermont,40516,70103,489.03,1.9813487E7,461.32,1.8668732E7,27.71,1144755.0,27.71,1144755.0
2007-10-01,Oklahoma,176662,421566,364.73,6.4433485E7,337.03,5.913961E7,27.7,5293875.0,27.7,5293875.0
1991-10-01,District of Columbia,35481,79871,370.75,1.3154854E7,343.08,1.1915482E7,27.67,1239372.0,27.67,1239372.0
1994-09-01,Wyoming,12420,32914,362.0,4496115.0,389.65,5006999.0,-27.65,-510884.0,27.65,510884.0
2021-08-01,Alabama,371885,759348,531.84,1.97784471E8,559.49,2.07175687E8,-27.65,-9391216.0,27.65,9391216.0
2020-10-01,West Virginia,160696,303249,434.32,6.9794461E7,406.7,6.6105856E7,27.62,3688605.0,27.62,3688605.0
2001-10-01,Alabama,168056,429334,371.37,6.2410485E7,343.76,5.6541474E7,27.61,5869011.0,27.61,5869011.0
2014-09-01,Hawaii,99997,196420,598.8,5.9877814E7,626.41,6.1155342E7,-27.61,-1277528.0,27.61,1277528.0
2016-06-01,New York,1629686,2953595,333.14,5.42920953E8,360.74,5.90270885E8,-27.6,-4.7349932E7,27.6,4.7349932E7
2020-10-01,Wyoming,12768,28538,517.47,6607052.0,489.88,6162714.0,27.59,444338.0,27.59,444338.0
2004-10-01,New Mexico,91463,236701,389.45,3.5620219E7,361.86,3.2905517E7,27.59,2714702.0,27.59,2714702.0
1995-12-01,Washington,203414,471011,362.4,7.3719403E7,389.99,7.8765392E7,-27.59,-5045989.0,27.59,5045989.0
1999-02-01,New Hampshire,17027,35898,313.7,5341313.0,286.15,5139071.0,27.55,202242.0,27.55,202242.0
1996-10-01,Oklahoma,138817,330305,349.2,4.8474889E7,321.67,4.5305275E7,27.53,3169614.0,27.53,3169614.0
2004-10-01,New Jersey,181678,384338,338.84,6.1560533E7,311.31,5.6734523E7,27.53,4826010.0,27.53,4826010.0
1991-08-01,South Carolina,118418,333227,423.76,5.018113E7,396.32,4.8158796E7,27.44,2022334.0,27.44,2022334.0
2013-11-01,North Dakota,24985,53753,350.09,8747286.0,377.53,9487664.0,-27.44,-740378.0,27.44,740378.0
1994-02-01,California,1369366,3470478,373.13,5.1094737E8,400.56,4.83644445E8,-27.43,2.7302925E7,27.43,2.7302925E7
2001-04-01,Guam,6639,22376,843.34,5598924.0,815.91,5610208.0,27.43,-11284.0,27.43,11284.0
2004-10-01,Arkansas,148047,364231,378.09,5.5974259E7,350.66,5.1473736E7,27.43,4500523.0,27.43,4500523.0
2022-05-01,New Hampshire,36433,69567,518.71,1.8898206E7,491.29,1.7749626E7,27.42,1148580.0,27.42,1148580.0
1996-02-01,New Jersey,233048,543228,386.78,9.0140954E7,359.38,8.3459943E7,27.4,6681011.0,27.4,6681011.0
2024-05-01,Georgia,674363,1396236,379.77,2.56101861E8,407.14,2.72643534E8,-27.37,-1.6541673E7,27.37,1.6541673E7
2001-02-01,Delaware,13631,31740,348.95,4756428.0,376.31,5076707.0,-27.36,-320279.0,27.36,320279.0
2013-11-01,South Carolina,411082,864774,357.05,1.46779004E8,384.36,1.59829516E8,-27.31,-1.3050512E7,27.31,1.3050512E7
2023-01-01,New York,1691805,2925621,534.26,9.03860428E8,561.57,9.38191676E8,-27.31,-3.4331248E7,27.31,3.4331248E7
2010-01-01,Wisconsin,313083,702674,388.48,1.21623938E8,415.78,1.26904672E8,-27.3,-5280734.0,27.3,5280734.0
1999-05-01,New Hampshire,18248,38820,284.68,5194820.0,311.94,5377504.0,-27.26,-182684.0,27.26,182684.0
1994-04-01,Oregon,130267,294236,334.3,4.3548096E7,361.56,4.7645154E7,-27.26,-4097058.0,27.26,4097058.0
2023-09-01,Kansas,94268,188720,353.02,3.3278172E7,380.26,3.6005109E7,-27.24,-2726937.0,27.24,2726937.0
2019-03-01,New Hampshire,39972,76762,247.99,9912758.0,220.75,635751.0,27.24,9277007.0,27.24,9277007.0
2016-03-01,Delaware,70723,146532,342.83,2.4246329E7,370.06,2.5978199E7,-27.23,-1731870.0,27.23,1731870.0
2020-09-01,Missouri,362014,752531,465.5,1.68517927E8,438.29,1.63250715E8,27.21,5267212.0,27.21,5267212.0
2004-02-01,Guam,7615,25888,958.3,7297405.0,931.1,6903196.0,27.2,394209.0,27.2,394209.0
2023-01-01,District of Columbia,84633,138316,500.02,4.2317422E7,527.2,4.4479635E7,-27.18,-2162213.0,27.18,2162213.0
2022-05-01,Delaware,59084,119279,465.89,2.752685E7,493.04,2.8978046E7,-27.15,-1451196.0,27.15,1451196.0
2018-06-01,Guam,15715,45595,694.84,1.0919484E7,721.99,1.101899E7,-27.15,-99506.0,27.15,99506.0
2013-11-01,Wisconsin,417578,843578,304.04,1.26959621E8,331.19,1.39559453E8,-27.15,-1.2599832E7,27.15,1.2599832E7
2004-10-01,Louisiana,287006,734384,420.86,1.20789829E8,393.78,1.11628741E8,27.08,9161088.0,27.08,9161088.0
2024-02-01,Wyoming,13689,29148,366.66,5019245.0,393.72,5448284.0,-27.06,-429039.0,27.06,429039.0
2010-07-01,Wisconsin,335024,747492,415.08,1.39060465E8,388.03,1.2699233E8,27.05,1.2068135E7,27.05,1.2068135E7
2008-06-01,District of Columbia,48436,90304,277.37,1.3434649E7,304.41,1.4612758E7,-27.04,-1178109.0,27.04,1178109.0
2001-10-01,Virginia,153965,343546,290.49,4.4724595E7,263.45,4.0156789E7,27.04,4567806.0,27.04,4567806.0
2022-06-01,Delaware,59456,120298,492.91,2.930693E7,465.89,2.752685E7,27.02,1780080.0,27.02,1780080.0
2003-10-01,Nebraska,45401,109588,336.63,1.5283411E7,309.63,1.4057544E7,27.0,1225867.0,27.0,1225867.0
2021-10-01,Wisconsin,400201,753320,543.12,2.17353578E8,516.14,2.10012975E8,26.98,7340603.0,26.98,7340603.0
1996-08-01,Oklahoma,141241,337765,385.71,5.4479196E7,358.73,5.0523565E7,26.98,3955631.0,26.98,3955631.0
1989-03-01,Hawaii,30507,77324,544.59,1.6613487E7,517.65,1.631316E7,26.94,300327.0,26.94,300327.0
1998-11-01,Georgia,264154,647177,345.54,9.1272427E7,318.62,9.1777243E7,26.92,-504816.0,26.92,504816.0
2025-02-01,Georgia,674466,1383174,434.65,2.93157404E8,407.74,2.95344819E8,26.91,-2187415.0,26.91,2187415.0
2025-04-01,Alaska,30102,63507,735.09,2.2127841E7,708.19,2.0731018E7,26.9,1396823.0,26.9,1396823.0
