SheetName,National Data Bank Version 8.2 - Supplemental Nutrition Assistance Program,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,01/15/2015
NERO,"SNAP Monthly State Participation and Benefit Summary, Fiscal Year 1989",,,,,
NERO,Fiscal Year and Month,Participation 1/,,Benefit,,
NERO,,Household,Persons,Per Household,Per Person,Cost
NERO,,----------------- Number -----------------,,------------------------------------------------------------------- Dollars -------------------------------------------------------------------,,
NERO,Connecticut,,,,,
NERO,New Hampshire,,,,,
NERO,Oct 1988,9044,18851,95.0435,45.5983,859573
NERO,Nov 1988,9183,19254,95.1795,45.3949,874033
NERO,Dec 1988,9501,20037,97.4949,46.2294,926299
NERO,Jan 1989,9918,21170,96.3603,45.1441,955701
NERO,Feb 1989,10221,22066,100.5053,46.5542,1027265
NERO,Mar 1989,10652,23227,102.8556,47.17,1095618
NERO,Apr 1989,10535,23016,101.4148,46.4201,1068405
NERO,May 1989,10535,23095,101.5646,46.3296,1069983
NERO,Jun 1989,10497,22602,98.995,45.9761,1039151
NERO,Jul 1989,10588,22687,97.0349,45.2861,1027405
NERO,Aug 1989,10782,23222,99.9266,46.396,1077409
NERO,Sep 1989,10735,23168,99.0052,45.8745,1062821
NERO,Total,10182.5833,21866.25,98.8916,46.0514,12083663
NERO,,,,,,
NERO,,,,,,
NERO,New York,,,,,
NERO,Oct 1988,651778,1494329,119.8541,52.2765,78118270
NERO,Nov 1988,649541,1484397,120.0687,52.5395,77989550
NERO,Dec 1988,651857,1493627,120.6822,52.6688,78667519
NERO,Jan 1989,659846,1502222,116.9839,51.3848,77191353
NERO,Feb 1989,636215,1438246,121.6641,53.8187,77404538
NERO,Mar 1989,656503,1468033,118.8794,53.1628,78044711
NERO,Apr 1989,657658,1468739,118.128,52.8942,77687835
NERO,May 1989,656260,1468158,118.0803,52.7814,77491383
NERO,Jun 1989,659489,1463751,116.9112,52.674,77101621
NERO,Jul 1989,635120,1410743,120.6381,54.3116,76619674
NERO,Aug 1989,638620,1409738,121.0086,54.8176,77278501
NERO,Sep 1989,650229,1448317,118.3739,53.1445,76970150
NERO,Total,650259.6667,1462525,119.2556,53.0227,930565105
NERO,,,,,,
NERO,,,,,,
NERO,Rhode Island,,,,,
NERO,Oct 1988,24568,55993,99.3002,43.5699,2439607
NERO,Nov 1988,24471,55483,100.733,44.4287,2465037
NERO,Dec 1988,24610,55830,101.1636,44.5932,2489636
NERO,Jan 1989,24844,56501,118.3939,52.0589,2941379
NERO,Feb 1989,24975,56738,118.5623,52.1889,2961093
NERO,Mar 1989,25318,57668,119.329,52.389,3021171
NERO,Apr 1989,25176,57408,119.4842,52.3992,3008134
NERO,May 1989,25010,56822,116.6286,51.3337,2916881
NERO,Jun 1989,25104,57123,117.0247,51.4292,2937789
NERO,Jul 1989,25010,57001,99.6093,43.705,2491229
NERO,Aug 1989,25339,57680,99.1559,43.5595,2512512
NERO,Sep 1989,25340,57958,95.9187,41.9369,2430580
NERO,Total,24980.4167,56850.4167,108.8021,47.8083,32615048
NERO,,,,,,
NERO,,,,,,
NERO,Vermont,,,,,
NERO,Oct 1988,14317,31736,95.3765,43.027,1365506
NERO,Nov 1988,14807,33185,97.4758,43.4933,1443324
NERO,Dec 1988,15201,34182,97.244,43.2452,1478206
NERO,Jan 1989,15113,33746,95.7383,42.876,1446893
NERO,Feb 1989,15594,35413,98.2117,43.2472,1531514
NERO,Mar 1989,15730,35552,98.3584,43.5187,1547178
NERO,Apr 1989,15425,34624,95.0971,42.3658,1466873
NERO,May 1989,15529,35140,97.2052,42.9567,1509500
NERO,Jun 1989,15273,34222,94.5489,42.1964,1444045
NERO,Jul 1989,15040,33171,90.1697,40.8837,1356153
NERO,Aug 1989,15321,34092,92.6803,41.6507,1419955
